ID,FOOD_NAME,SCIENTIFIC_NAME,GROUP,SUB_GROUP
1,Abalone,Haliotis,Aquatic foods,Mollusks
2,Abiyuch,Crateva religiosa,Fruits,Tropical fruits
3,Acerola,Malpighia emarginata,Fruits,Tropical fruits
4,Acorn,Quercus,Nuts,Nuts
5,Adobo,NULL,Baking goods,Seasonings
6,Adzuki bean,Vigna angularis,Pulses,Beans
7,Agar,Eucheuma,Aquatic foods,Seaweed
8,Agave,Agave,Vegetables,Other vegetables
9,Akutaq,NULL,Confectioneries,Desserts
10,Alaska blackfish,Dallia pectoralis,Aquatic foods,Fishes
11,Alaska blueberry,Vaccinium alaskaense,Fruits,Berries
12,Alaska pollock,Theragra chalcogramma,Aquatic foods,Fishes
13,Alaska wild rhubarb,Polygonum alpinum,Vegetables,Stalk vegetables
14,Albacore tuna,Thunnus alalunga,Aquatic foods,Fishes
15,Alcoholic beverages,NULL,Beverages,Alcoholic beverages
16,Alfalfa,Medicago sativa,Herbs and Spices,Herbs
17,Allium (Onion),Allium,Vegetables,Onion-family vegetables
18,Allspice,Pimenta dioica,Herbs and Spices,Spices
19,Almond,Prunus dulcis,Nuts,Nuts
20,Alpine sweetvetch,Hedysarum alpinum,Vegetables,Root vegetables
21,Amaranth,Amaranthus,Herbs and Spices,Herbs
22,American butterfish,Peprilus triacanthus,Aquatic foods,Fishes
23,American cranberry,Vaccinium macrocarpon,Fruits,Berries
24,American lobster,Homarus americanus,Aquatic foods,Crustaceans
25,American pokeweed,Phytolacca americana,Vegetables,Shoot vegetables
26,American shad,Alosa sapidissima,Aquatic foods,Fishes
27,"Anatidae (Duck, Goose, Swan)",Anatidae,Animal foods,Poultry
28,Anchovy,Engraulidae,Aquatic foods,Fishes
29,Angelica,Angelica keiskei,Herbs and Spices,Herbs
30,Anguilliformes (Eel),Anguilliformes,Aquatic foods,Fishes
31,Animal foods,NULL,Animal foods,Animal foods
32,Anise,Pimpinella anisum,Herbs and Spices,Herbs
33,Annual wild rice,Zizania aquatica,Cereals and cereal products,Cereals
34,Antelope,Artiodactyla,Animal foods,Venison
35,Apple,Malus pumila,Fruits,Pomes
36,Apple cider,NULL,Beverages,Fermented beverages
37,Apricot,Prunus armeniaca,Fruits,Drupes
38,Arabica coffee,Coffea arabica,Coffee and coffee products,Coffee
39,Arctic blackberry,Rubus arcticus,Fruits,Berries
40,Arctic ground squirrel,Urocitellus parryii,Animal foods,Rodents
41,Arepa,NULL,Dishes,Latin American cuisine
42,Arrowhead,Sagittaria latifolia,Vegetables,Tubers
43,Arrowroot,Maranta arundinacea,Vegetables,Tubers
44,Ascidians,Ascidiacea,Aquatic foods,Other aquatic foods
45,Asian pear,Pyrus pyrifolia,Fruits,Pomes
46,Asparagus,Asparagus officinalis,Vegetables,Shoot vegetables
47,Atlantic cod,Gadus morhua,Aquatic foods,Fishes
48,Atlantic croaker,Micropogonias undulatus,Aquatic foods,Fishes
49,Atlantic halibut,Hippoglossus hippoglossus,Aquatic foods,Fishes
50,Atlantic herring,Clupea harengus harengus,Aquatic foods,Fishes
51,Atlantic mackerel,Scomber scombrus,Aquatic foods,Fishes
